Waste Column,ID,CountOfSizes,Colour,StyleCode
,1,3,GREY,FGC0Z7045232A
,2,0,BLACK,FLC0260T0642A
,3,0,OLIVE_BLACK,FGC0Y9032092A
,4,0,SAND,FGC0510S0052A
,5,1,BLUE,FGC0H40U8422A
,6,3,PURPLE,FLC0DY0T7832A
,7,3,GREY_GREEN,FGC0EM0S0162A
,8,4,NAVY,FGC0Z7041632A
,9,3,NAVY,FGC0Y9037602A
,10,2,NAVY,FGC0DY0T7772A
,11,6,DGREY,FGC0Y9039142A
,12,4,BLUE_GREY,FGC0Y9032782A
,13,3,BEIGE,FLC0H40T3292A
,14,3,GREY_PINK,FLC0DY0T7852A
,15,4,GREEN,FLC0H40T3282A
,72,10,(PURPLE-GREEN),378916_01
,73,9,BLACK,377333_02
,73,13,WHITE,377333_01
,73,13,GLACIAL GRAY-PUMA NAVY,377333_11
,74,11,BLACK-WHITE,377334_02
,74,13,WHITE-BLACK,377334_12
,74,13,WHITE-GREEN,377334_14
,75,9, GOLD,380188_04
,75,13,WHITE-GOLD-BLACK,380188_02
,76,13,WHITE-GOLD-GRAY VIOLET,370167_01
,76,6,BLACK-GOLD- WHITE,370167_02
,77,11,BLACK-PINK,194482_01
,78,12,BLACK- SILVER,194331_19
,79,10,NAVY-LIME,379252_02
,79,9,BLACK-WHITE,379252_01
,80,8,BLACK,384855_04
,80,11,WHITE,384855_05
,80,5,WHITE-BLACK,384855_09
,80,8,WHITE-GRAY ,384855_10
,80,10,BLACK,384855_11
,81,12,BLACK-WHITE,377334_02
,81,13,WHITE-BLACK,377334_12
,82,9,BLACK-WHITE,379252_01
,83,15,BLACK,377048_01
,83,15,RED- BLACK,377048_02
,83,9,WHITE-BLACK,377048_08
,83,9,GRAY,377048_09
,83,6,WHITE-BLUE-BLACK,377048_16
,84,11,WHITE-BLACK,388167_01
,84,11,BLACK-WHITE-RED,388167_02
,85,13,GRAY,377911_01
,85,12,WHITE- SILVER,377911_06
,86,11,BLACK-GOLD,194331_15
,87,5,BLACK,380367_01
,87,8,RED-BLACK-EBONY,380367_22
,48,11,PINK,FB9881-600
,49,11,RED,DZ2628-103
,49,11,ORANGE,DZ2628-002
,49,10,IVORY,DZ2628-101
,49,9,GREEN,DZ2628-100
,49,10,BLACK,DZ2628-102
,49,1,FUSHIA,DZ2628-001
,50,11,WHITE,FB2269-103
,50,1,BLUE,FB2269-104
,50,7,RED,FB2269-106
,50,1,BROWN,FB2269-102
,51,15,SUMMIT-WHITE,DM9537-103
,51,6,WHITE,DM9537-101
,51,13,GREEN,DM9537-105
,51,0,RED,DM9537-104
,51,12,BLACK,DM9537-001
,52,13,BLUE,FB8886-001
,53,10,RED,FB8459-600
,54,17,WHITE,FB8875-002
,54,13,BLACK,FB8875-001
,54,12,YELLOW,FB8875-700
,55,3,RED,FD9082-101
,55,16,UNIVERTY GOLD,FD9082-104
,55,16,OLIVE,FD9082-102
,55,13,ROYAL_BLUE,FD9082-100
,55,3,RED,FD9082-101
,56,2,BLACK,DA6364-001
,56,13,GREEN,DA6364-115
,56,13,WHITE,DA6364-101
,56,0,BLUE,DA6364-107
,57,15,PEARL-GREY,FD5743-200
,58,6,RED,FV0393-001
,59,12,BLACK,DZ7273-001
,59,12,YELLOW,DZ7273-100
,16,1,BEIGE,GW2176
,16,10,ORANGE,GW2175
,17,18,BLACK,EG4959
,17,18,WHITE,EG4958
,17,7,WHITE,EG4960
,18,17,BLACK,B75807
,18,6,WHITE,B75806
,18,12,GREEN,IG1024
,18,9,RED,IG1025
,19,6,WHITE,B75808
,19,11,BLACK,B75814
,19,14,GREEN ,IG1028
,19,18,RED,IG1029
,20,10,BLACK,GW3848
,20,5,BLUE,HP2416
,21,1,PEECH,HQ1402
,22,8,BLACK,FX3624
,22,7,WHITE,FX3625
,22,6,BLACK,FX3632
,22,9,BLUE,FX3633
,23,2,BLUE,GB2514
,24,2,LIGHT BLUE,EX2102
,26,7,BEIGE,HQ6441
,27,4,BLACK,GA0868
,27,6,GREY,GA0869
,27,3,DARK BLUE,GA0870
,27,7,YELLOW,GA0871
,27,1,LIGHT BLUE,GA0872
,29,2,BLACK,CM4822
,29,1,WHITE,CM4821
,30,5,WHITE,GW9195
,31,1,BLACK,GW8589
,31,2,WHITE,GW9151
,31,3,RED,HP9014
,34,5,GREY,GX6779
,34,7,BLACK,GX6784
,34,6,BLUE,HP2675
,34,7,GREY,HP2677
,35,5,BLACK,GC0569
,35,7,GREY,GC0568
,35,6,BLUE,GC0567
,37,5,BLUE,GC0557
,37,5,PINK,GC0556
,37,5,LIGHT BLUE,GC0555
,38,6,BLACK,HP7611
,38,1,ORANGE,HP7634
,38,6,GREY,HP9813
,38,7,LIGHT BLUE,IE6799
,38,5,BLACK,IE6800
,40,10,BLUE,GX9886
,40,9,WHITE,GX9885
,40,11,GREY,GX9888
,60,4,BLACK,1917971
,60,14,BLUE,1917971
,61,13,BLACK,2027211
,61,14,RED,2027211
,62,14,BLACK,2058831
,62,14,BLUE,2058831
,63,6,GREY,1987101
,63,8,BLACK,1987101
,64,10,PINK,2027201
,64,14,BLACK,2027201
,65,14,GOLDEN,1826371
,65,13,GREY,1826371
,65,14,BLACK,1826371
,65,6,DARK GREY,1826371
,66,7,NAVY BLUE,1826981
,66,3,BLACK,1826981
,67,14,OLIVE,2044241
,67,14,BLACK,2044241
,68,13,BLACK,2044281
,68,6,BLUE,2044281
,69,14,MUD,2040542
,88,6,BLACK,232451-BKRD
,88,7,BLUE,232451-NVOR
,88,4,GREY,232451-CCLM
,88,3,BROWN,232451-OLV
,89,6,BLUE,149710-NVY
,89,5,PINK,149710-MVE
,89,2,GREY,149710-GRY
,90,1,BLUE,232458-NVY
,90,3,BLACK,232458-BBK
,91,5,PINK,149708-ROS
,91,5,BLACK,149708-BKW
,92,5,RED,232450-BURG
,92,6,BLUE,232450-NVY
,93,2,BLACK,149591-BKGD
,93,2,PINK,149591-RSGD
,94,5,BLUE,232561-NVOR
,94,2,WHITE,232561-WBK
,94,0,GREY,232561-GYBL
,95,5,BLUE,177102-NVY
,95,4,ROSE PINK,177102-ROS
,95,2,PINK,177102-LTPK
,96,1,BLACK,220195-BKGY
,96,2,GREY,220195-GRY
