Waste Column,ID,Reviews,Comfort,Performance,Rating
,1,,,,
,2,,,,
,3,,,,
,4,,,,
,5,,,,
,6,,,,
,7,,,,
,8,,,,
,9,,,,
,10,,,,
,11,,,,
,12,,,,
,13,,,,
,14,,,,
,15,,,,
,48,66,3,4,4.5
,49,64,,,4.6
,50,2,,,4.5
,51,14,,,4.1
,52,1,,,5
,53,15,,,4.9
,54,8,,,4.6
,55,90,3,5,4.8
,56,94,3,5,4.4
,57,0,,,
,58,9,,,4.8
,59,0,,,
,72,66,,5,4.1
,73,333,,5,4.1
,74,172,,5,4
,75,23,,5,4
,76,22,,5,4
,77,62,,3,4.2
,78,84,,5,4.1
,79,2,,4,4.3
,80,134,,5,4.1
,81,172,,4,4
,82,2,,4,4.3
,83,74,,5,4.3
,84,133,,5,4
,85,0,,,
,86,84,,5,4.1
,87,99,,5,3.9
,16,30,4,4.2,4.8
,17,4810,4,4.2,4.8
,18,6812,4.1,4.5,4.8
,19,6777,4,4.3,4.8
,20,808,4.1,4.2,4.6
,21,113,4,4,4.6
,22,369,3.9,4,4.4
,23,368,3.9,4.2,4.4
,24,127,4,4.1,4.2
,26,234,4,4.2,4.2
,27,222,3.8,3.9,4.1
,29,159,4,4.1,4.2
,30,178,4,4.1,4.7
,31,229,4,4.2,4.4
,34,1195,4.1,4.3,4.6
,35,38,3.2,4,4.2
,37,17,4,4.2,4.6
,38,124,4,4,4.5
,40,91,3.8,4.1,4.3
,60,365,4,5,4.6
,61,13,,4,4.6
,62,15,5,4,4.7
,63,78,3,4,4.2
,64,31,4.2,5,4.4
,65,690,5,5,4.5
,66,36,,5,4.5
,67,20,4,4,3.7
,68,11,4,4,3.5
,69,2,,3,3
,88,82,,,4.6
,89,964,,,4.9
,90,133,,,4.7
,91,210,,,4.7
,92,1235,,,4.8
,93,3,,,4.7
,94,1,,,5
,95,40,,,4.3
,96,41,,,4.9
